girl,std_mark,realpercentile,kcpe2001,kcpe2004,total_2004,rotation,total1_2005,streams1_2005,init_clsize,Nteachers,gradesize,schoolsize,Y2,schoolid,streamsize,Y1,Nteachers_prim,treatment,costs
0,0.85982496,79.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,11.657143,15,0,0
0,1.0044359,82.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,11.485714,15,0,0
0,-0.8617339,33.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,12.25,15,0,0
0,-1.3437704,11.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,7.5714283,15,0,0
1,1.3969513,95.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,30.228573,15,0,0
1,1.1352743,89.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,26.714287,15,0,0
1,-0.9994587,29.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,8.271428,15,0,0
1,0.6945553,68.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,7.6642857,15,0,0
1,0.8804836,80.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,23.571428,15,0,0
0,0.72898644,69.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,18.0,15,0,0
0,0.68766904,67.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,4.2,15,0,0
0,0.29515362,53.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,23.67857,15,0,0
0,1.038867,84.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,32.22857,15,0,0
1,1.0870707,86.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,17.442856,15,0,0
0,0.43287832,56.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,26.37857,15,0,0
0,0.8942561,81.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,17.607143,15,0,0
1,0.3502435,55.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,15.407143,15,0,0
1,-0.82730275,23.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,7.0,15,0,0
1,-0.7240092,27.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,21.27143,15,0,0
1,0.7909626,74.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,9.457143,15,0,0
1,0.26072243,50.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,20.685715,15,0,0
1,0.03347667,45.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,30.607143,15,0,0
1,1.1215019,88.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,13.514286,15,0,0
0,-1.3575429,10.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,4.971429,15,0,0
1,1.5002449,97.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,28.428572,15,0,0
0,-0.42790112,39.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,9.8714285,15,0,0
0,1.2179092,92.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,26.035715,15,0,0
1,0.45353705,58.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,24.485714,15,0,0
0,0.7909626,75.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,21.114286,15,0,0
0,-0.44855982,36.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,8.185715,15,0,0
1,-1.185387,14.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,28.87143,15,0,0
0,1.328089,93.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,23.142857,15,0,0
0,-0.10515042,52.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,7.45,10,0,0
1,0.6022251,75.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,8.757143,10,0,0
1,0.21985996,58.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,20.37143,10,0,0
1,-0.87943983,27.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,8.1285715,10,0,0
0,-0.47795644,42.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,8.742857,10,0,0
0,-0.0669139,53.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,20.47857,10,0,0
1,-1.0801815,19.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,16.714287,10,0,0
1,-0.6882573,33.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,2.7142859,10,0,0
1,1.8449118,94.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,12.342857,10,0,0
1,-1.1662138,24.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,9.85,10,0,0
1,-0.8507624,28.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,10.564285,10,0,0
1,-0.888999,29.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,8.542857,10,0,0
1,0.6500208,77.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,13.742857,10,0,0
1,-0.0669139,54.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,13.6285715,10,0,0
0,1.8735892,96.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,23.628572,10,0,0
0,-0.296333,49.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,6.9,10,0,0
0,-0.41104254,43.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,16.971428,10,0,0
0,1.4338692,88.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,12.157143,10,0,0
0,-0.7934077,31.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,3.8357143,10,0,0
1,0.8316442,79.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,29.414288,10,0,0
1,0.5831069,74.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,13.757143,10,0,0
1,0.8507624,81.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,10.071428,10,0,0
1,-0.6117842,36.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,5.4,10,0,0
1,1.8449118,95.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,23.8,10,0,0
1,-1.4051919,3.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,0.0,10,0,0
0,-0.18162344,63.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,8.185715,10,0,0
0,0.7934077,78.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,11.5,10,0,0
1,1.9213848,97.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,32.8,10,0,0
0,0.4970747,69.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,10.771429,10,0,0
