pupil_id,a01,treatment,pre_theta_sd,post_theta_sd,ple_tried,ple_pass,books_with,b_homework_pp,b_fem_pp,b_elec_pp,b_cement_pp,b_radio_pp,b_edhigh_teacher,b_fem_teacher,decile,scores_top,decile_decile,baseline_score,endline_score
8017016.0,8017.0,1.0,0.3744766175164147,1.271313208826901,1,1,1,1,1,0,1,1,1,0,6.0,1,10000.0,34.0,46.0
8017018.0,8017.0,1.0,0.3703995558058129,0.35683353814976493,0,0,1,1,1,0,0,1,1,0,6.0,1,10000.0,34.0,36.0
8017026.0,8017.0,1.0,0.4851299420970401,,0,0,1,1,1,1,1,1,1,0,6.0,1,16000.0,30.0,
8019012.0,8019.0,1.0,0.42400182544893505,0.010939622590890687,0,0,1,1,1,0,0,1,0,0,6.0,1,12000.0,32.0,30.0
8019023.0,8019.0,1.0,0.38841163935584705,0.3931034072201284,1,1,1,1,1,0,0,1,0,0,6.0,1,10000.0,32.0,34.0
8020002.0,8020.0,0.0,0.4815199514424721,,0,0,1,1,0,0,1,0,0,0,6.0,1,0.0,32.0,
8020004.0,8020.0,0.0,0.49634853830351666,,1,1,1,1,0,1,1,1,0,0,6.0,1,0.0,34.0,
8020012.0,8020.0,0.0,0.456158066633278,0.6649556410992581,1,1,1,1,0,1,1,1,0,0,6.0,1,0.0,32.0,38.0
8020025.0,8020.0,0.0,0.48309510462600225,,0,0,1,1,1,1,1,1,0,0,6.0,1,0.0,34.0,
8020027.0,8020.0,0.0,0.4613626968335965,-0.9119130107920889,0,0,1,1,1,1,1,0,0,0,6.0,1,0.0,30.0,22.0
8020028.0,8020.0,0.0,0.44385130917732124,-0.5069692571906214,1,1,1,1,1,0,0,1,0,0,6.0,1,0.0,30.0,26.0
8020029.0,8020.0,0.0,0.3153568997243967,,0,0,1,1,1,1,1,0,0,0,6.0,1,0.0,32.0,
8020030.0,8020.0,0.0,0.3153568997243967,,1,0,1,1,1,0,1,1,0,0,6.0,1,0.0,32.0,
8020040.0,8020.0,0.0,0.5284805134518871,-0.8435680881425853,0,0,1,1,1,0,0,1,0,0,6.0,1,0.0,32.0,22.0
8021027.0,8021.0,0.0,0.32115825380931307,0.18656661843892514,0,0,0,1,0,0,0,1,0,1,6.0,1,0.0,32.0,32.0
8021036.0,8021.0,0.0,0.32411155739948316,1.755384127152638,1,1,0,1,1,0,0,1,0,1,6.0,1,0.0,32.0,50.0
8023008.0,8023.0,0.0,0.35455356692139545,0.5479629316058233,1,1,1,1,1,0,0,1,1,0,6.0,1,0.0,32.0,38.0
8023014.0,8023.0,0.0,0.42105808120626936,-0.04303818777371486,1,1,1,1,1,1,1,1,1,0,6.0,1,0.0,32.0,30.0
8023025.0,8023.0,0.0,0.3846363655774715,0.5930120586301656,0,0,1,1,0,0,1,1,1,0,6.0,1,0.0,32.0,38.0
8023028.0,8023.0,0.0,0.5131424066840028,0.5177561622508186,1,1,1,1,0,0,0,0,1,0,6.0,1,0.0,32.0,38.0
8023037.0,8023.0,0.0,0.26973417842550196,-0.976533665132768,1,1,1,1,1,0,1,1,1,0,6.0,1,0.0,30.0,20.0
8024002.0,8024.0,1.0,0.38121909939042115,0.40094772087903213,1,0,0,1,0,0,0,1,0,1,6.0,1,10000.0,32.0,36.0
8024016.0,8024.0,1.0,0.46281849187049023,,0,0,0,1,0,0,0,1,0,1,6.0,1,14000.0,34.0,
8024029.0,8024.0,1.0,0.46627810663547065,,0,0,0,1,1,1,0,1,0,1,6.0,1,16000.0,32.0,
8025009.0,8025.0,1.0,0.5153090695625829,1.1595092195708054,1,1,1,1,1,0,0,0,1,1,6.0,1,20000.0,32.0,44.0
8025010.0,8025.0,1.0,0.3768205294153289,0.692643254992533,1,1,1,1,1,1,1,1,1,1,6.0,1,10000.0,30.0,38.0
8026020.0,8026.0,1.0,0.41566851439846303,,0,0,0,1,1,0,1,1,0,0,6.0,1,12000.0,34.0,
