id,treatment_match,costs,er_amount_total,dayXlocation,us_stu_insch,us_stu_edlvl,us_stu_grade,us_stu_edlvl_all,us_stu_female,us_stu_mig_rel,us_stu_age,us_stu_grade_all,us_stu_yearsofed,us_stu_mig_rel_child,us_stu_mig_rel_sib,us_stu_mig_rel_niece,us_stu_mig_rel_cousin,treatment_tmp1,treatment_tmp2
200065.0,3,0.0,0.0,1.18997,1.0,4.0,12.0,4.0,0.0,4.0,17.0,12.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0
200066.0,3,600.0,800.0,1.18997,1.0,5.0,3.0,5.0,1.0,4.0,20.0,3.0,15.0,0.0,0.0,1.0,0.0,1.0,1.0
200067.0,2,0.0,0.0,1.18997,1.0,4.0,12.0,4.0,0.0,1.0,17.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
200069.0,2,0.0,0.0,1.18997,1.0,3.0,9.0,3.0,1.0,5.0,16.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0
200070.0,1,0.0,0.0,1.19008,1.0,4.0,11.0,4.0,0.0,1.0,17.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,
200071.0,3,0.0,0.0,1.19008,1.0,4.0,11.0,4.0,0.0,1.0,18.0,11.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0
200072.0,1,0.0,0.0,1.19025,1.0,4.0,13.0,4.0,0.0,2.0,24.0,13.0,13.0,0.0,1.0,0.0,0.0,0.0,
200073.0,1,0.0,0.0,1.19025,1.0,6.0,4.0,6.0,1.0,4.0,19.0,4.0,16.0,0.0,0.0,1.0,0.0,0.0,
200074.0,2,0.0,0.0,1.19025,1.0,4.0,10.0,4.0,1.0,4.0,16.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
200077.0,3,0.0,0.0,1.19008,1.0,3.0,9.0,3.0,0.0,4.0,15.0,9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0
200078.0,3,0.0,0.0,1.19008,1.0,5.0,1.0,5.0,0.0,1.0,18.0,1.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0
200080.0,3,0.0,0.0,1.19025,1.0,4.0,11.0,4.0,1.0,1.0,16.0,11.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0
200088.0,1,0.0,0.0,1.1902,1.0,4.0,10.0,4.0,1.0,4.0,15.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
200091.0,3,0.0,0.0,1.1902,1.0,4.0,12.0,4.0,0.0,1.0,17.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0
200092.0,1,0.0,0.0,1.1902,1.0,4.0,12.0,4.0,0.0,4.0,17.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,
200093.0,1,0.0,0.0,1.1902,1.0,3.0,9.0,3.0,0.0,4.0,16.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
